target,target_p,frequlemfilms2,distractor,distractor_p
ciré,si-Re,0.36,jouteur,Zu-t9R
rainer,Re-ne,0.82,goulag,gu-lag
néo,ne-o,0.62,transi,tR@-zi
aussi,o-si,1402.33,terni,tER-ni
sidi,si-di,0,mezcal,mez-kal
divorcer,di-vOR-se,27.5,vaguemestre,va-g°-mEstR
secco,se-ko,0,niçois,ni-swa
coca,ko-ka,14.53,virtuose,viR-t8oz
carrer,ka-Re,1.13,cothurne,ko-tyRn
rêver,Re-ve,122.95,esquif,Es-kif
veto,ve-to,1.94,baveux,ba-v2
thomas,to-ma,4.83,señor,se-NOR
masser,ma-se,5.69,surplis,syR-pli
sécot,se-ko,0,taupin,to-p5
cocon,ko-k§,1.65,nabot,na-bo
concorder,k§-kOR-de,2.45,majorer,ma-Zo-Re
démis,de-mi,0.13,pogrom,po-gROm
mirer,mi-Re,0.48,premier,pR2-mje
rêvé,Re-ve,2.61,tarpé,taR-pe
veiné,ve-ne,0.11,moho,mo-o
névé,ne-ve,0,digeste,di-ZEst
vêler,ve-le,0.02,tonner,to-ne
légat,le-ga,0.15,mitral,mi-tRal
gamma,ga-ma,1.94,mulâtre,my-latR
massé,ma-se,0.03,mignon,mi-N§
céara,se-a-Ra,0.14,vitrier,vi-tRi-je
râper,Ra-pe,1.22,méson,me-z§
péan,pe-@,0,zinnia,zi-nja
emmi,@-mi,0.03,tanka,t@-ka
mimi,mi-mi,0.33,alerte,a-lERt
mimer,mi-me,0.93,délire,de-liR
messie,me-si,0.69,palace,pa-las
sipo,si-po,0.03,rappel,Ra-pEl
paumer,po-me,4.27,exode,Eg-zOd
méta,me-ta,0.14,spica,spi-ka
tacon,ta-k§,0,rabais,Ra-bE
condé,k§-de,0.1,tourisme,tu-Rizm
dépit,de-pi,5.82,amiable,a-mjabl
pipa,pi-pa,0.02,possible,po-sibl
parer,pa-Re,30.5,abrupt,a-bRypt
réac,Re-ak,0.59,pifer,pi-fe
axer,ak-se,0.61,mineur,mi-n9R
serrer,se-Re,50.99,cynisme,si-nizm
répons,Re-p§,0.04,silence,si-l@s
pomper,p§-pe,5.24,pancrace,p@-kRas
peccata,pe-ka-ta,0.2,astronome,as-tRo-nOm
taco,ta-ko,2,téton,te-t§
coma,ko-ma,12.66,pénil,pe-nil
mali,ma-li,0,alcyon,al-sj§
lycée,li-se,42.56,surgeon,syR-Z§
cesser,se-se,68.11,pronom,pRo-n§
sénat,se-na,1.38,sarcloir,saR-klwaR
narrer,na-Re,0.24,solder,sOl-de
